param,aic
"[(0, 1, 0), (2, 0, 3, 7)]",14043.197562351543
"[(1, 1, 3), (1, 0, 1, 5)]",14044.15840138698
"[(3, 1, 3), (0, 0, 0, 5)]",14046.08018148908
"[(3, 1, 3), (0, 0, 0, 2)]",14046.08018148908
"[(3, 1, 3), (0, 0, 0, 7)]",14046.08018148908
"[(3, 1, 1), (0, 0, 1, 2)]",14047.1792504322
"[(2, 1, 0), (1, 0, 0, 7)]",14047.484393592153
"[(0, 1, 3), (3, 0, 0, 5)]",14047.704102679629
"[(0, 1, 3), (2, 0, 1, 5)]",14049.013126380461
"[(3, 1, 1), (0, 0, 1, 5)]",14049.596216489164
"[(0, 1, 3), (3, 0, 1, 5)]",14049.617378066687
"[(0, 1, 3), (2, 0, 0, 5)]",14049.716894466277
"[(2, 1, 2), (3, 0, 0, 5)]",14049.86658216443
"[(1, 1, 2), (3, 0, 0, 5)]",14050.407145684865
"[(1, 1, 2), (2, 0, 0, 5)]",14050.869198724045
"[(2, 1, 2), (3, 0, 1, 5)]",14051.274364816169
"[(2, 1, 2), (2, 0, 0, 5)]",14051.42400473159
"[(1, 1, 2), (2, 0, 1, 5)]",14051.467522847503
"[(2, 1, 2), (2, 0, 1, 5)]",14051.540910602587
"[(3, 1, 1), (1, 0, 0, 5)]",14051.911203231124
"[(1, 1, 2), (1, 0, 2, 5)]",14051.912720025995
"[(1, 1, 2), (3, 0, 1, 5)]",14052.146753749064
"[(1, 1, 2), (1, 0, 3, 5)]",14053.005497864247
"[(2, 1, 1), (3, 0, 0, 5)]",14053.091789714905
"[(2, 1, 2), (1, 0, 2, 5)]",14053.90315270886
"[(0, 1, 3), (0, 0, 2, 5)]",14054.220297978982
"[(0, 1, 3), (0, 0, 3, 5)]",14054.228371686597
"[(2, 1, 1), (2, 0, 1, 5)]",14054.295620042472
"[(0, 1, 3), (1, 0, 2, 5)]",14054.398499061983
"[(2, 1, 1), (2, 0, 0, 5)]",14054.510316384347
"[(2, 1, 1), (3, 0, 1, 5)]",14055.011914858807
"[(1, 1, 2), (0, 0, 3, 5)]",14055.292170114795
"[(0, 1, 3), (1, 0, 3, 5)]",14056.225091140645
"[(1, 1, 2), (0, 0, 2, 5)]",14056.24003205496
"[(0, 1, 2), (1, 0, 3, 5)]",14056.47301277882
"[(2, 1, 2), (0, 0, 3, 5)]",14056.601118873652
"[(2, 1, 1), (1, 0, 2, 5)]",14056.682194083733
"[(2, 1, 1), (0, 0, 2, 5)]",14057.12640983686
"[(1, 1, 1), (1, 0, 3, 5)]",14057.192753787847
"[(2, 1, 1), (0, 0, 3, 5)]",14057.773231460085
"[(3, 1, 1), (0, 0, 0, 5)]",14057.874926519773
"[(3, 1, 1), (0, 0, 0, 2)]",14057.874926519773
"[(3, 1, 1), (0, 0, 0, 7)]",14057.874926519773
"[(2, 1, 2), (0, 0, 2, 5)]",14058.172759209778
"[(0, 1, 2), (1, 0, 2, 5)]",14058.463933458885
"[(2, 1, 2), (1, 0, 3, 5)]",14058.596112169587
"[(0, 1, 1), (2, 0, 0, 2)]",14058.669441976943
"[(1, 1, 1), (1, 0, 2, 5)]",14058.996887126212
"[(0, 1, 1), (3, 0, 0, 2)]",14059.487935788826
"[(2, 1, 1), (1, 0, 3, 5)]",14059.733430483391
"[(0, 1, 1), (2, 0, 1, 2)]",14059.822719139724
"[(0, 1, 1), (1, 0, 3, 5)]",14059.871111444867
"[(0, 1, 1), (3, 0, 0, 5)]",14060.151017099073
"[(1, 1, 1), (2, 0, 0, 2)]",14060.402513971636
"[(0, 1, 2), (2, 0, 0, 2)]",14060.407090453413
"[(1, 1, 0), (3, 0, 1, 2)]",14060.633806681082
"[(1, 1, 0), (2, 0, 1, 2)]",14060.634183002087
"[(0, 1, 3), (2, 0, 0, 2)]",14060.726372660358
"[(0, 1, 1), (1, 0, 2, 5)]",14061.118058792035
"[(0, 1, 2), (3, 0, 0, 2)]",14061.302902312873
"[(1, 1, 1), (3, 0, 0, 2)]",14061.303188391912
"[(1, 1, 0), (0, 0, 3, 2)]",14061.464347166426
"[(1, 1, 0), (2, 0, 2, 2)]",14061.48074211906
"[(0, 1, 2), (3, 0, 0, 5)]",14061.56494675023
